,Unnamed: 0,meta,memento-datetime,url,data-type,status,1,2,memento-url,filename,downloaded,tweet_content,url-trunc
76,76,"com,twitter)/an_cabraal/status/1324288632098758657",20201105095318,https://twitter.com/an_cabraal/status/1324288632098758657,text/html,200,RGBRJ2WS4SLVZ3GO3YV5DG6MC5F33TCC,2260,https://web.archive.org/web/20201105095318/https://twitter.com/an_cabraal/status/1324288632098758657,status-1324288632098758657-20201105095318.html,True,Trade deficit contracts by over USD 1billion during the 8 months ending August 2020 compared to the corresponding period of 2019: #Rupee steady: interest rates continue at low levels for the 10th consecutive month @CSE_Media #EconomicRecoveryPlan #CentralBankSL #lka,https://twitter.com/an_cabraal/status/1324288632098758657
77,77,"com,twitter)/an_cabraal/status/1324288815624646656",20201105095404,https://twitter.com/an_cabraal/status/1324288815624646656,text/html,200,VXQJQT4FOWR3L57D7TOEDBZR62EXLNPR,2255,https://web.archive.org/web/20201105095404/https://twitter.com/an_cabraal/status/1324288815624646656,status-1324288815624646656-20201105095404.html,True,Trade deficit contracts by over USD 1 billion during the 8 months ending August 2020 compared to the corresponding period of 2019: #Rupee steady: interest rates continue at low levels for the 10th consecutive month @CSE_Media #EconomicRecoveryPlan #CentralBankSL #lka,https://twitter.com/an_cabraal/status/1324288815624646656
84,84,"com,twitter)/an_cabraal/status/1324956732964081665",20210501223115,https://twitter.com/an_cabraal/status/1324956732964081665,text/html,200,BTO3YNLKGSQ7PAN4C7NJGEF4RIVTOV7T,12515,https://web.archive.org/web/20210501223115/https://twitter.com/an_cabraal/status/1324956732964081665,status-1324956732964081665-20210501223115.html,True,"Contrary to adverse expectations, Central Govt Debt will be well below 100% of #GDP in 2020: with our integrated #Debt Management plan, we hope to reduce it to 70% by 2025 @CBSL @IMFNews @FitchRatings @MoodysInvSvc #lka #EconomicRecoveryPlan Here we go again!!! Why don't we start with reporting the GDP data for Q2??? Yes pls , the government must reveal Sri Lanka will never fall, until we have wonderful leaders like You, Proud to be Sri Lankan, we also do our bit to make Sri Lanka wonder of Asia,,,, we ll participate in the economy at our fullest while obeying health guidelines ,,,  නන්දසේන #සfail Dear Sri Lankans.....
Obey Health guidelines
Work Hard
Work Efficiently
Work Effectively
Be Creative  
Reuse (specially things that we Import)
Buy Made in Sri Lanka
& Invest
If every one of us can practice these we are better than Singapore by 2025,,  GDP is the number given to the value of manufacture. 

Ahem...

 In this age of media reality the good minister might be banking on an entirely new source of value.

 The value of manufacturing the GDP number.  Unless, CBSL is wrong our liquid reserves are USD 5.1 billion. Another  1.1 billion needs to be paid within 30 days.  Within 12 months it is USD 4.5 billion. This all in US dollars. You cannot inflate that or print that.  That is not going to go away. That is the reality. Yes, you can do it.. You can see a sunshine even inside a deep mine..  @GotabayaR @PresRajapaksa @SecPompeo 
Please work on to allow @PayPal business accounts (Merchant) in Sri Lanka. There are lot of people in here willing to enter the international market, however it is impossible due to above issue. Among them most are the younger generation. Ecommerce sector is growing in SL gradually and ready to run with the global markets. Lot of traditional product manufacturers are now arising with the current government policies.",https://twitter.com/an_cabraal/status/1324956732964081665
125,125,"com,twitter)/an_cabraal/status/1332568827725418498",20201128061618,https://twitter.com/an_cabraal/status/1332568827725418498,text/html,200,ZM7U75ZZLV6CVGO4LIQNDZPI2IDNLZOE,2827,https://web.archive.org/web/20201128061618/https://twitter.com/an_cabraal/status/1332568827725418498,status-1332568827725418498-20201128061618.html,True,"The Y'palana Govt borrowed a massive USD 6.9 billion (9.8% of GDP) in #ISBs in a 15-mth period Apr18-Jun19, the cost of 6 #Hambanthota Ports!
Now, the int'l agencies that promoted those loans say #SL has a debt problem! We reduced SL's #debt /GDP ratio from 91% to 70% from 2006-14, and we'll do that again by 2025 @CBSL @FitchRatings #lka #economicrecoveryplan #economicrecoveryplan",https://twitter.com/an_cabraal/status/1332568827725418498
126,126,"com,twitter)/an_cabraal/status/1332568829948428290",20201128061610,https://twitter.com/an_cabraal/status/1332568829948428290,text/html,200,SPIV7RZHMVDBOLRZTEDAMLRBA5DNQLFQ,2534,https://web.archive.org/web/20201128061610/https://twitter.com/an_cabraal/status/1332568829948428290,status-1332568829948428290-20201128061610.html,True,"The Y'palana Govt borrowed a massive USD 6.9 billion (9.8% of GDP) in #ISBs in a 15-mth period Apr18-Jun19, the cost of 6 #Hambanthota Ports!
Now, the int'l agencies that promoted those loans say #SL has a debt problem! We reduced SL's #debt /GDP ratio from 91% to 70% from 2006-14, and we'll do that again by 2025 @CBSL @FitchRatings #lka #economicrecoveryplan #economicrecoveryplan",https://twitter.com/an_cabraal/status/1332568829948428290
152,152,"com,twitter)/an_cabraal/status/1342299812528472064",20201225024319,https://twitter.com/an_cabraal/status/1342299812528472064,text/html,200,W6PC4DCYOHY5UBZWM3CXTQXOF3GZJM7Q,3475,https://web.archive.org/web/20201225024319/https://twitter.com/an_cabraal/status/1342299812528472064,status-1342299812528472064-20201225024319.html,True,"Congratulations to 1229 #companies incorporated during Nov 2020. Encouraging to see our efforts to create a conducive environment for #business activities in SL being made use of by our country’s #entrepreneur @CBSL #lka #economyrisingpic.twitter.com/H1jgBQrixF We’ve opened a company while we’re in overseas however sad to say that non of the bank let us open a bank account online. It is how lots of dollars #LK missed in 2020 from our business.I’m disappointed about that fact @IDhamith @shiyam160 @dsrajapaksa 
Thank you all for you comments I will be certainly looking at these suggestions on the way forward!",https://twitter.com/an_cabraal/status/1342299812528472064
153,153,"com,twitter)/an_cabraal/status/1342320261664702464",20201225040614,https://twitter.com/an_cabraal/status/1342320261664702464,text/html,200,QUHV3QKAL2LCXKBEOHVP3HOWN6I4GEDG,2391,https://web.archive.org/web/20201225040614/https://twitter.com/an_cabraal/status/1342320261664702464,status-1342320261664702464-20201225040614.html,True,Sri Lanka's #trade gap narrowed by USD 1.6 bn in the first 10 months of 2020. Worker #remittances improved by 4% in the first 11 months. Clear signs of a current account #surplus in Q3. @CBSL @CSE_Media #economicrecoveryplan,https://twitter.com/an_cabraal/status/1342320261664702464
183,183,"com,twitter)/an_cabraal/status/1355419474388799488",20210130073623,https://twitter.com/an_cabraal/status/1355419474388799488,text/html,200,WG6SOMWNC6DX2FR5BFN4FJHW5FDTR26H,3800,https://web.archive.org/web/20210130073623/https://twitter.com/an_cabraal/status/1355419474388799488,status-1355419474388799488-20210130073623.html,True,"Sri Lanka exporters should convert, #rupee worth 185 to #dollar: Minister Cabraal. @CBSL @Economynext #lkahttps://economynext.com/sri-lanka-exporters-should-convert-rupee-worth-185-to-dollar-minister-cabraal-78354/ …",https://twitter.com/an_cabraal/status/1355419474388799488
188,188,"com,twitter)/an_cabraal/status/1360054270377140229",20210212023324,https://twitter.com/an_cabraal/status/1360054270377140229,text/html,200,D2PSXJOZ65TKSWHBWWS2ZVW2FLDXOK3P,3535,https://web.archive.org/web/20210212023324/https://twitter.com/an_cabraal/status/1360054270377140229,status-1360054270377140229-20210212023324.html,True,"At end 2014, @CSE_Media 's market cap was about #USD 24b: today it's only about USD 17b. After 5 years of even modest growth, that means there's a lot of intrinsic value in Sri Lanka's #corporates. #SriLanka #lka #reality #capitalmarket",https://twitter.com/an_cabraal/status/1360054270377140229
196,196,"com,twitter)/an_cabraal/status/1363055524703465472",20210220091913,https://twitter.com/an_cabraal/status/1363055524703465472,text/html,200,6ZQERWKUTDWXLRV3K6G7WJOVDKJLOYKX,3163,https://web.archive.org/web/20210220091913/https://twitter.com/an_cabraal/status/1363055524703465472,status-1363055524703465472-20210220091913.html,True,There is absolutely no truth in the mischievous #rumour that #GOSL and @CBSL have directed the conversion of any #NRFC or #RFC account balances into #LKR. There is neither any intention nor a need to do so. @MFA_SriLanka #fakenews #FactCheck #lka #remittance,https://twitter.com/an_cabraal/status/1363055524703465472
